"region","party","seats_2021","seats_2026","seat_change"
"Central","TVK","0","12","12"
"Central","VCK","1","2","1"
"Central","DMDK","0","1","1"
"Central","AIADMK","15","15","0"
"Central","PMK","3","3","0"
"Central","INC","1","0","-1"
"Central","DMK","21","8","-13"
"Chennai Metro","TVK","0","29","29"
"Chennai Metro","AIADMK","0","1","1"
"Chennai Metro","INC","3","0","-3"
"Chennai Metro","DMK","29","2","-27"
"Delta","TVK","0","10","10"
"Delta","IUML","0","1","1"
"Delta","AMMK","0","1","1"
"Delta","CPI","1","1","0"
"Delta","AIADMK","4","4","0"
"Delta","VCK","1","0","-1"
"Delta","CPI(M)","2","1","-1"
"Delta","INC","2","1","-1"
"Delta","DMK","23","14","-9"
"Kongu","TVK","0","16","16"
"Kongu","BJP","2","1","-1"
"Kongu","DMK","10","9","-1"
"Kongu","INC","2","0","-2"
"Kongu","AIADMK","19","7","-12"
"North","TVK","0","15","15"
"North","AIADMK","12","15","3"
"North","IUML","0","1","1"
"North","CPI","1","1","0"
"North","INC","1","0","-1"
"North","PMK","2","1","-1"
"North","VCK","2","0","-2"
"North","DMK","18","4","-14"
"South","TVK","0","25","25"
"South","CPI(M)","0","1","1"
"South","BJP","2","0","-2"
"South","INC","9","4","-5"
"South","DMK","31","22","-9"
"South","AIADMK","16","5","-11"
