"constituency","winner_2021","winner_2026","seat_status"
"Alangudi","DMK","DMK","Retained"
"Ambasamudram","AIADMK","AIADMK","Retained"
"Ambur","DMK","DMK","Retained"
"Andipatti","DMK","DMK","Retained"
"Arani","AIADMK","AIADMK","Retained"
"Aravakurichi","DMK","DMK","Retained"
"Aruppukkottai","DMK","DMK","Retained"
"Athoor","DMK","DMK","Retained"
"Attur","AIADMK","AIADMK","Retained"
"Bhavani","AIADMK","AIADMK","Retained"
"Bhuvanagiri","AIADMK","AIADMK","Retained"
"Chepauk-Thiruvallikeni","DMK","DMK","Retained"
"Colachal","INC","INC","Retained"
"Coonoor","DMK","DMK","Retained"
"Dharmapuri","PMK","PMK","Retained"
"Edappadi","AIADMK","AIADMK","Retained"
"Gangavalli","AIADMK","AIADMK","Retained"
"Harbour","DMK","DMK","Retained"
"Harur","AIADMK","AIADMK","Retained"
"Kanniyakumari","AIADMK","AIADMK","Retained"
"Kattumannarkoil","VCK","VCK","Retained"
"Killiyoor","INC","INC","Retained"
"Kilvelur","CPI(M)","CPI(M)","Retained"
"Kulithalai","DMK","DMK","Retained"
"Kunnam","DMK","DMK","Retained"
"Kurinjipadi","DMK","DMK","Retained"
"Madurantakam","AIADMK","AIADMK","Retained"
"Manachanallur","DMK","DMK","Retained"
"Mayiladuthurai","INC","INC","Retained"
"Mudhukulathur","DMK","DMK","Retained"
"Nannilam","AIADMK","AIADMK","Retained"
"Natham","AIADMK","AIADMK","Retained"
"Oddanchatram","DMK","DMK","Retained"
"Omalur","AIADMK","AIADMK","Retained"
"Palacodu","AIADMK","AIADMK","Retained"
"Palayamkottai","DMK","DMK","Retained"
"Pappireddipatti","AIADMK","AIADMK","Retained"
"Paramakudi","DMK","DMK","Retained"
"Paramathi-Velur","AIADMK","AIADMK","Retained"
"Pattukkottai","DMK","DMK","Retained"
"Peravurani","DMK","DMK","Retained"
"Perundurai","AIADMK","AIADMK","Retained"
"Poompuhar","DMK","DMK","Retained"
"Pudukkottai","DMK","DMK","Retained"
"Ramanathapuram","DMK","DMK","Retained"
"Rishivandiyam","DMK","DMK","Retained"
"Sankari","AIADMK","AIADMK","Retained"
"Sattur","DMK","DMK","Retained"
"Sirkazhi","DMK","DMK","Retained"
"Thalli","CPI","CPI","Retained"
"Thirumayam","DMK","DMK","Retained"
"Thiruthuraipoondi","CPI","CPI","Retained"
"Thiruvaiyaru","DMK","DMK","Retained"
"Thiruvarur","DMK","DMK","Retained"
"Thiruvidaimarudur","DMK","DMK","Retained"
"Thondamuthur","AIADMK","AIADMK","Retained"
"Tiruchendur","DMK","DMK","Retained"
"Tiruchirappalli (West)","DMK","DMK","Retained"
"Tiruchuli","DMK","DMK","Retained"
"Tiruvannamalai","DMK","DMK","Retained"
"Tittakudi","DMK","DMK","Retained"
"Ulundurpettai","DMK","DMK","Retained"
"Vandavasi","DMK","DMK","Retained"
"Vasudevanallur","DMK","DMK","Retained"
"Vedaranyam","AIADMK","AIADMK","Retained"
"Vedasandur","DMK","DMK","Retained"
"Vilathikulam","DMK","DMK","Retained"
"Vilavancode","INC","INC","Retained"
"Viluppuram","DMK","DMK","Retained"
"Viralimalai","AIADMK","AIADMK","Retained"
"Yercaud","AIADMK","AIADMK","Retained"
"Alandur","DMK","TVK","Flipped"
"Alangulam","AIADMK","DMK","Flipped"
