"party","vote_share_2021","vote_share_2026","change"
"TVK","0","34.92","34.92"
"DMDK","0.43","1.20","0.77"
"BJP","2.62","2.97","0.35"
"All India Puratchi Thalaivar Makkal Munnettra Kazhagam","0","0.27","0.27"
"Tamizhaga Vaazhvurimai Katchi","0","0.15","0.15"
"Bahujan Samaj Party","0","0.11","0.11"
"Puthiya Tamilagam","0.09","0.19","0.10"
"VCK","0.99","1.09","0.10"
"Aanaithinthiya Jananayaka Pathukappu Kazhagam","0.00","0.05","0.05"
"Republican Party of India (Athawale)","0","0.02","0.02"
"Naadaalum Makkal Katchi","0.00","0.02","0.02"
"Samaniya Makkal Nala Katchi","0.00","0.01","0.01"
"Puthiya Makkal Tamil Desam Katchi","0","0.01","0.01"
"Anti Corruption Dynamic Party","0","0.01","0.01"
"Vishwa Tamil Kazhagam","0","0.01","0.01"
"Communist Party of India (Marxist-Leninist) (Liberation)","0","0.01","0.01"
"Party for the Rights of Other backward Classes","0","0.01","0.01"
"All India Forward Bloc","0","0.01","0.01"
"Thamizhaka Padaippalar Makkal Katchi","0","0.01","0.01"
"Manitha Urimaigal Kalaagam","0.00","0","0.00"
"Bahujan Dravida Party","0.00","0.00","0.00"
"RSPS","0.00","0","0.00"
"MGR Makkal Katchi","0.00","0.00","0.00"
"Mahathma Makkal Munnetra Kazhakam","0.00","0","0.00"
"Dravida Murpokku Makkal Katchi","0.00","0","0.00"
"Ganasangam Party of India","0.01","0.01","0.00"
"Tamizhaga Murpokku Makkal Katchi","0.00","0.00","0.00"
"Tamilnadu Mahatma Gandhi Makkal Katchi","0.00","0.00","0.00"
"India Dravida Makkal Munnetra Katchi","0.00","0","0.00"
"Ilantamilar Munnani Kazhagam","0.00","0","0.00"
"All India Youth Development Party","0.00","0.00","0.00"
"Rashtriya Ulama Council","0.00","0","0.00"
"RJD","0.00","0","0.00"
"Makkal Thilagam Munnetra Kazhagam,","0.00","0","0.00"
"Vada Tamil Nadu Munnetra Katchi","0","0.00","0.00"
"Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam","0.01","0.01","0.00"
"All India Uzhavargal Uzhaippalargal Katchi","0.00","0.00","0.00"
"SUCI","0.00","0","0.00"
"Akhila India Jananayaka Makkal Katchi (Dr. Isaac)","0.00","0","0.00"
"Indhia Kudiarasu Katchi","0.00","0.00","0.00"
"Bhartiya Manavadhikaar Federal Party","0.00","0","0.00"
"Makkalatchi Katchi","0.00","0.00","0.00"
"Makkal Nala Kazhagam","0.00","0.00","0.00"
"People's Party of India(secular)","0.00","0","0.00"
"Ezhuchi Tamilargal Munnetra Kazhagam","0.00","0.00","0.00"
"All  India  Pattali  Munnetra Katchi","0.00","0","0.00"
"Ambedkar Political Party","0.00","0","0.00"
"Universal Brotherhood Movement","0.00","0","0.00"
"South India Forward Bloc","0.00","0","0.00"
"All India MGR Makkal Munnetra Kazhagam","0.00","0","0.00"
"Desa Makkal Munnetrak Kazhgam","0.00","0","0.00"
"Anna MGR Dravida Munnetra Kazhagam","0.00","0","0.00"
"United States of India Party","0.00","0","0.00"
"Makkal Murasu Katchi","0","0.00","0.00"
"Our Mahathma National Party","0","0.00","0.00"
"Socialist Unity Centre Of India (COMMUNIST)","0","0.00","0.00"
"Vanchit Bahujan Aaghadi","0","0.00","0.00"
"ALL PENSIONER'S PARTY","0","0.00","0.00"
"Parivartan Rajniti Party","0","0.00","0.00"
"Thamizh Perarasu Katchi","0","0.00","0.00"
"Bharatha Makkal Katchi","0","0.00","0.00"
"Republican Party of India","0","0.00","0.00"
"Viduthalai Kalam Katchi","0","0.00","0.00"
"Indhu Dravida Makkal Katchi","0","0.00","0.00"
"Mannin Maithargal Kazhagam","0","0.00","0.00"
"Nam Naadu Nam Makkal Nam Ethirkaalam Katchi","0","0.00","0.00"
"Democratic National Allegiance","0","0.00","0.00"
"Thakkam Katchi","0","0.00","0.00"
"Proutist Sarva Samaj","0","0.00","0.00"
"Makkal Munnetra Katchi","0","0.00","0.00"
"Indian National League","0","0.00","0.00"
"Communist Party of India (Marxist-Leninist) Red Star","0","0.00","0.00"
"Nationalist Janshakti Party","0","0.00","0.00"
"Rashtriya Janata Dal","0","0.00","0.00"
"Dravida Jananayaga Makkal Katchi","0","0.00","0.00"
"Tamilaga Makkal Nala Katchi","0","0.00","0.00"
